Feature,Full Timeline (Inc. 2020),Fundamental Regime (Post-2021),Signal Improvement
prepped_sentiment,-0.06776986723281353,0.011291748598305434,-0.05647811863450809
MDA_Dispersion,0.15441938863059357,-0.008264705912068085,-0.1461546827185255
prepped_dispersion,-0.10730407565422986,-0.0878003171035364,-0.01950375855069346
prepped_neutral,0.06054941900947254,0.008616939340752984,-0.051932479668719556
qa_sentiment,-0.11154257030422542,-0.028721878755550923,-0.0828206915486745
qa_dispersion,-0.2733297725325169,-0.1443238776513658,-0.12900589488115108
qa_neutral,0.00837960386180114,-0.1112098241973918,0.10283022033559065
Risk_Combined_Mean,-0.2898710870389357,-0.3928426421344166,0.1029715550954809
MDA_Neutrality,-0.1394081626856248,-0.05104065872038288,-0.08836750396524193
Risk_Combined_Std,-0.10234496891017987,-0.12777981113011197,0.0254348422199321
Risk_Combined_Neutrality,-0.2976282611781197,-0.36700790125152627,0.06937964007340658
MDA_Delta,-0.0526100847385865,-0.18879200631863755,0.13618192158005105
MDA_Sentiment,-0.24299140405168823,-0.3348450591274009,0.09185365507571269
Risk_Delta,-0.24794674234950456,-0.2609735008721041,0.013026758522599519
